6.87097	6.35696	-0.0028202	-78.5202	-10.7825	3.69994
6.86791	6.35772	-0.0267653	-83.3086	-2.1634	3.54744
6.75129	6.48277	-0.0267653	-83.3086	-2.1634	3.4731
6.64158	6.63314	0.174373	-195.836	9.08935	3.48072
6.55873	6.74592	2.36029	101.045	162.318	3.49025
6.45976	6.85103	4.31048	280.61	350.742	3.44641
6.32703	6.99603	5.85308	275.822	464.706	3.4731
6.16592	7.20163	6.57462	158.506	481.705	3.48644
6.00175	7.46018	6.86782	36.4014	470.931	3.45594
5.8368	7.70031	7.29138	-253.297	475.48	3.47691
5.65728	7.93047	8.08103	60.3435	488.169	3.47501
5.50384	8.15449	8.08103	60.3435	488.169	3.45022
5.35193	8.39155	9.96684	512.848	556.883	3.45594
5.18545	8.64549	10.5862	618.193	555.925	3.45213
5.00746	8.9094	11.1907	718.749	542.517	3.45404
4.80416	9.25848	11.3163	433.839	514.026	3.48072
4.55942	9.61062	11.7606	548.761	486.254	3.49788
4.31315	9.89218	12.4449	754.662	487.211	3.48072
4.05384	10.1983	13.3585	816.911	513.548	3.45976
3.77152	10.4798	14.2535	934.227	516.66	3.48072
3.4984	10.8297	14.2535	934.227	516.66	3.50741
3.19536	11.2164	15.3534	-109.645	512.829	3.5055
2.83017	11.758	15.5817	-394.555	480.029	3.48644
2.35681	12.4393	15.5886	-746.503	443.398	3.47691
1.92949	13.0499	15.901	-1153.52	394.556	3.46738
1.50523	13.4481	17.0987	-155.135	479.55	3.47119
1.13391	13.8018	18.7339	1173.65	602.373	3.46357
0.901451	14.1762	20.3883	1460.95	637.807	3.47501
0.641373	14.6595	21.0923	771.421	633.497	3.46738
0.256242	15.2019	21.2157	12.4595	594.472	3.47501
-0.17492	15.8011	21.2226	5.27686	542.996	3.45022
-0.688171	16.3435	21.5312	424.262	529.349	3.48835
-1.29118	16.7984	22.1767	1101.82	545.869	3.45785
-1.85123	17.2074	23.1717	1832.05	539.884	3.47691
-2.27319	17.6378	24.2663	1664.46	541.799	3.46738
-2.70972	18.1042	25.4183	84.2854	550.897	3.44641
-3.14702	18.6865	26.0047	-1467.16	571.966	3.49788
-3.14702	18.6865	26.0047	-1467.16	571.966	3.49025
-4.34077	20.1856	16.9854	-3004.23	486.254	3.50169
-5.02204	20.9052	12.5811	-2563.7	436.454	3.5055
-5.67109	21.5343	16.623	-1503.07	465.903	3.49597
-6.2695	22.099	19.6204	2.88257	538.926	3.5055
-6.74976	22.6583	22.4523	733.114	578.909	3.45785
-7.16788	23.2237	26.8151	-28.2419	631.582	3.47691
-7.62742	23.829	30.8975	-729.743	605.006	3.48835
-8.22814	24.5095	31.5765	-562.149	539.884	3.47501
-8.94393	25.2491	30.9049	-384.978	489.127	3.51885
-9.75945	26.0492	29.4219	-59.3665	425.441	3.50932
-10.687	26.8724	29.4219	-59.3665	425.441	3.5055
-11.4864	27.4417	21.3312	721.143	472.367	3.49979
-12.0833	27.8974	18.4253	704.384	574.121	3.48644
