0.0,-5.7,23.2,2.9,0.1,-8.0,-5.0
0.0,7.8,116.4,-3.9,0.1,-23.4,-27.2
0.0,33.6,99.2,-16.8,-0.4,-79.9,-97.2
0.0,59.7,71.7,-29.8,-1.4,-167.9,-199.1
0.0,85.0,104.3,-42.5,-2.8,-111.5,-156.8
0.0,109.4,127.5,-54.7,-4.6,-80.2,-139.5
0.0,137.2,158.9,-68.6,-7.0,-50.6,-126.2
0.0,167.9,164.9,-83.9,-9.9,-68.1,-161.9
0.0,194.6,178.6,-97.3,-13.3,-79.9,-190.5
0.0,205.1,185.9,-102.6,-16.9,-97.9,-217.4
0.0,220.4,219.4,-110.2,-20.8,-101.2,-232.2
0.0,232.9,217.7,-116.4,-25.0,-83.6,-225.0
0.0,251.3,247.3,-125.7,-29.4,-74.3,-229.3
0.0,269.4,252.5,-134.7,-34.2,-83.6,-252.5
0.0,284.1,282.9,-142.1,-39.2,-74.6,-255.8
0.0,300.2,298.8,-150.1,-44.6,-87.3,-281.9
0.0,313.8,304.8,-156.9,-50.1,-70.9,-278.0
0.0,327.1,307.4,-163.5,-56.0,-67.6,-287.1
0.0,340.3,334.5,-170.1,-62.0,-68.0,-300.2
0.0,355.9,371.0,-177.9,-68.4,-86.2,-332.5
0.0,368.4,371.0,-184.2,-74.9,-95.1,-354.2
0.0,386.4,377.0,-193.2,-81.8,-86.8,-361.8
0.0,405.4,460.3,-202.7,-89.0,-71.6,-363.3
0.0,422.3,409.6,-211.1,-96.5,-68.0,-375.6
0.0,442.3,436.2,-221.2,-104.4,-97.5,-423.1
0.0,462.4,471.9,-231.2,-112.6,-79.0,-422.9
0.0,481.5,499.8,-240.7,-121.2,-86.4,-448.4
0.0,499.0,501.9,-249.5,-130.1,-71.1,-450.7
0.0,514.5,468.0,-257.2,-139.3,-69.4,-465.9
0.0,530.1,550.9,-265.0,-148.8,-36.2,-450.0
0.0,542.1,554.3,-271.1,-158.5,-55.9,-485.4
0.0,560.8,567.6,-280.4,-168.5,-63.3,-512.2
0.0,577.8,622.6,-288.9,-178.8,-69.2,-536.9
0.0,594.9,604.5,-297.4,-189.4,-66.1,-553.0
0.0,610.1,610.1,-305.0,-200.3,-68.3,-573.6
0.0,619.7,613.5,-309.9,-211.5,-55.3,-576.7
0.0,637.8,580.5,-318.9,-222.9,-72.6,-614.4
0.0,654.3,646.6,-327.1,-234.6,-86.2,-647.9
0.0,662.7,635.0,-331.3,-246.5,-66.7,-644.5
0.0,679.1,720.4,-339.5,-258.6,-41.0,-639.1
0.0,683.8,627.3,-341.9,-270.9,-93.5,-706.3
0.0,699.9,712.3,-350.0,-283.5,-61.1,-694.5
0.0,718.1,759.1,-359.1,-296.3,-83.2,-738.6
0.0,728.1,710.1,-364.1,-309.3,-87.4,-760.8
0.0,740.5,756.9,-370.2,-322.6,-57.8,-750.7
0.0,750.0,738.1,-375.0,-336.1,-40.3,-751.4
0.0,759.6,726.5,-379.8,-349.7,-5.4,-734.9
0.0,768.3,788.7,-384.2,-363.5,-46.0,-793.7
0.0,771.2,731.6,-385.6,-377.4,-45.6,-808.6
0.0,771.1,765.1,-385.6,-391.2,-43.5,-820.3
0.0,771.4,743.2,-385.7,-405.1,-43.3,-834.1
0.0,780.3,725.2,-390.2,-419.1,-24.8,-834.1
0.0,786.9,777.5,-393.4,-433.3,-58.6,-885.3
0.0,794.0,810.2,-397.0,-447.5,-81.2,-925.7
0.0,807.1,806.7,-403.6,-462.0,-57.6,-923.2
0.0,814.5,827.8,-407.3,-476.6,-72.7,-956.6
0.0,832.3,823.1,-416.2,-491.5,-33.8,-941.5
0.0,845.6,879.3,-422.8,-506.6,-24.2,-953.7
0.0,853.1,855.7,-426.5,-522.0,-55.3,-1003.8
0.0,867.5,886.2,-433.7,-537.5,-74.5,-1045.8
0.0,877.7,885.3,-438.8,-553.3,-46.9,-1039.0
0.0,893.0,903.8,-446.5,-569.3,-75.4,-1091.2
0.0,906.6,939.0,-453.3,-585.5,-18.0,-1056.8
0.0,914.8,927.0,-457.4,-602.0,-31.0,-1090.4
0.0,931.4,932.1,-465.7,-618.7,-57.1,-1141.5
0.0,942.5,954.4,-471.2,-635.6,-22.9,-1129.8
0.0,956.4,954.4,-478.2,-652.7,-41.1,-1172.0
0.0,961.5,929.1,-480.7,-670.0,-34.9,-1185.6
0.0,969.7,975.0,-484.8,-687.4,-46.1,-1218.4
0.0,977.2,950.1,-488.6,-705.0,-50.4,-1244.0
0.0,987.8,1039.9,-493.9,-722.7,-38.7,-1255.3
0.0,992.9,992.6,-496.5,-740.5,-52.3,-1289.3
0.0,1004.0,1018.4,-502.0,-758.6,-68.0,-1328.5
0.0,1011.0,975.1,-505.5,-776.7,-65.4,-1347.6
0.0,1025.2,1057.0,-512.6,-795.1,-35.2,-1342.9
0.0,1035.9,978.9,-517.9,-813.7,-91.5,-1423.2
0.0,1042.0,1072.1,-521.0,-832.4,-13.9,-1367.3
0.0,1058.2,1034.3,-529.1,-851.4,-45.7,-1426.2
0.0,1067.9,1020.1,-533.9,-870.6,-91.4,-1496.0
0.0,1078.7,1100.0,-539.3,-890.0,-22.1,-1451.4
0.0,1086.3,1094.0,-543.2,-909.5,-57.8,-1510.4
0.0,1095.4,1094.8,-547.7,-929.2,-7.3,-1484.2
0.0,1115.5,1200.9,-557.8,-949.1,-63.4,-1570.3
0.0,1127.4,1132.6,-563.7,-969.3,-45.3,-1578.3
0.0,1132.3,1105.6,-566.2,-989.7,-44.3,-1600.3
