-2300.16	1824.39	-0.00319268	-1036.88	-37.4238	3.67325	0	0.4
-2300.16	1824.39	-0.0170276	351.756	77.7373	3.62941	0	0.4
-2300.18	1824.39	0.0164955	562.446	-50.5919	0.019062	0	0.4
-2300.23	1824.39	0.0239451	-1063.22	6.1507	3.6256	0	0.4
-2300.28	1824.41	0.126643	115.927	46.2536	3.62941	0	0.4
-2300.36	1824.49	0.305433	-786.687	118.08	3.64847	0	0.4
-2300.38	1824.56	0.543287	776.727	318.235	3.62941	0	0.4
-2300.42	1824.63	0.815729	2246.77	159.02	3.63703	0	0.4
-2300.45	1824.71	1.0174	-304.255	143.578	3.6256	0	0.4
-2300.47	1824.79	1.19991	1096.35	206.545	3.62941	0	0.4
-2300.56	1824.86	1.41808	1019.74	132.325	3.61797	0	0.4
-2300.64	1824.92	1.62933	-288.693	185.596	3.63131	0	0.4
-2300.69	1824.98	1.94647	-54.061	150.162	3.65419	0	0.4
-2300.75	1825.04	2.26414	-2224.41	268.795	3.63131	0	0.4
-2300.81	1825.11	2.55148	-919.565	348.761	3.63322	0	0.4
-2300.89	1825.19	2.78721	93.1824	179.012	3.62941	0	0.4
-2300.97	1825.28	2.93247	-1008.15	174.703	3.63513	0	0.4
-2301.07	1825.38	3.09317	567.234	147.887	3.64084	0	0.4
-2301.19	1825.49	3.28739	-804.643	110.298	3.6275	0	0.4
-2301.3	1825.63	3.48002	-632.261	260.415	3.6275	0	0.4
-2301.4	1825.76	3.7216	1357.32	179.73	3.61988	0	0.4
-2301.52	1825.87	3.97062	-186.939	177.097	3.63513	0	0.4
-2301.63	1825.98	4.23136	756.376	243.416	3.64847	0	0.4
-2301.73	1826.08	4.58362	-276.722	233.001	3.62941	0	0.4
-2301.86	1826.2	4.7209	1155.01	105.63	3.63322	0	0.4
-2301.99	1826.34	4.82945	1377.67	127.896	3.64084	0	0.4
-2302.15	1826.49	4.971	-511.354	77.1388	3.65038	0	0.4
-2302.3	1826.65	5.08753	-76.806	185.716	3.63513	0	0.4
-2302.48	1826.81	5.25834	806.654	72.4701	3.62369	0	0.4
-2302.68	1826.97	5.43713	-1021.32	152.077	3.61225	0	0.4
-2302.86	1827.13	5.67445	641.455	214.925	3.63894	0	0.4
-2303.03	1827.26	5.96818	360.136	189.187	3.64275	0	0.4
-2303.2	1827.41	6.23689	-171.377	306.264	3.63131	0	0.4
-2303.38	1827.54	6.5088	834.188	164.767	3.62941	0	0.4
-2303.56	1827.71	6.69291	-1667.75	146.571	3.64084	0	0.4
-2303.71	1827.87	6.8004	-554.449	198.046	3.658	0	0.4
-2303.88	1828	6.91267	100.365	58.8231	3.658	0	0.4
