6486	-712	0.195302	0.128584	3.14159	6.24843	5.73942e-40	0.113503	0.0875599	0.0259428	-0	0.113503
6469	-579	0.201586	0.141414	3.14159	6.43467	5.92407e-40	0.10667	0.0799272	0.0267426	-0	0.10667
6452	-440	0.207869	0.154299	3.14159	6.43892	6.10871e-40	0.09948	0.0720098	0.0274702	-0	0.09948
6436	-297	0.214152	0.166993	3.14159	6.29313	6.29336e-40	0.092266	0.0641422	0.0281238	-0	0.092266
6422	-150	0.220435	0.179584	3.14159	6.33037	6.47801e-40	0.0853229	0.0566181	0.0287048	-0	0.0853229
6410	1	0.226718	0.192262	3.14159	6.30058	6.66266e-40	0.0781242	0.0489089	0.0292154	-0	0.0781242
6400	152	0.233002	0.204643	3.14159	6.13881	6.8473e-40	0.0710505	0.0413963	0.0296542	-0	0.0710505
6392	306	0.239285	0.216395	3.14159	5.80571	7.03194e-40	0.0644579	0.0344341	0.0300238	-0	0.0644579
6386	458	0.245568	0.227765	3.14159	5.63118	7.21659e-40	0.0584509	0.0281207	0.0303302	-0	0.0584509
6382	608	0.251851	0.238834	3.14159	5.51518	7.40124e-40	0.0528177	0.022239	0.0305787	-0	0.0528177
6379	759	0.258134	0.249628	3.14159	5.34171	7.58589e-40	0.0473907	0.0166177	0.030773	-0	0.0473907
6379	909	0.264418	0.259581	3.14159	4.85642	7.77054e-40	0.042547	0.0116312	0.0309158	-0	0.042547
6381	1053	0.270701	0.26908	3.14159	4.75426	7.95519e-40	0.0386644	0.0076497	0.0310147	-0	0.0386644
6386	1193	0.276984	0.278267	3.14159	4.48607	8.13982e-40	0.0349203	0.00384318	0.0310771	-0	0.0349203
6393	1330	0.283267	0.286998	3.14159	4.35943	8.32447e-40	0.0318598	0.00075438	0.0311055	-0	0.0318598
6401	1465	0.28955	0.295657	3.14159	4.31047	8.50912e-40	0.02895	-0.00215564	0.0311057	-0	0.02895
6412	1593	0.295834	0.304121	3.14159	4.17957	8.69377e-40	0.02615	-0.00492904	0.031079	-0	0.02615
6424	1719	0.302117	0.31174	3.14159	3.69535	8.87842e-40	0.0239135	-0.00711368	0.0310272	-0	0.0239135
6441	1841	0.3084	0.318631	3.14159	3.40695	9.06307e-40	0.0227692	-0.00818853	0.0309577	-0	0.0227692
6461	1963	0.314683	0.325422	3.14159	3.40056	9.2477e-40	0.0220736	-0.00880623	0.0308798	-0	0.0220736
6482	2081	0.320966	0.332262	3.14159	3.4144	9.43235e-40	0.021339	-0.00945711	0.0307961	-0	0.021339
6506	2195	0.32725	0.338946	3.14159	3.33458	9.617e-40	0.0206725	-0.0100339	0.0307063	-0	0.0206725
6530	2310	0.333533	0.345782	3.14159	3.44739	9.80165e-40	0.0200494	-0.0105622	0.0306116	-0	0.0200494
6554	2418	0.339816	0.35265	3.14159	3.37928	9.9863e-40	0.0191654	-0.0113459	0.0305113	-0	0.0191654
6578	2524	0.346099	0.359046	3.14159	3.15898	1.01709e-39	0.0186589	-0.0117452	0.0304041	-0	0.0186589
6602	2626	0.352382	0.36557	3.14159	3.30478	1.03556e-39	0.0184347	-0.0118597	0.0302944	-0	0.0184347
6624	2727	0.358665	0.372224	3.14159	3.31436	1.05402e-39	0.0178893	-0.0122935	0.0301828	-0	0.0178893
6645	2822	0.364949	0.378606	3.14159	3.14515	1.07249e-39	0.0174522	-0.0126149	0.0300671	-0	0.0174522
6667	2919	0.371232	0.384926	3.14159	3.20049	1.09095e-39	0.0173566	-0.0125928	0.0299493	0	0.0173566
