# KERISE v5
# ref_v.tra	est_v.tra	ref_a.tra	est_a.tra	ref_q.x	est_q.x	ref_q.y	est_q.y	ref_q.th	est_q.th	ref_0	ref_1	ref_2	ref_3	wd_0	wd_1	wd_2	wd_3	tof
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
1.200e-01	0.000e+00	0.000e+00	-2.889e-03	4.000e-05	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-2.889e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
4.800e-01	0.000e+00	0.000e+00	-5.018e-03	3.200e-04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-7.907e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
1.080e+00	0.000e+00	0.000e+00	-4.972e-02	1.080e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-5.762e-05	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
1.920e+00	0.000e+00	0.000e+00	-1.487e-01	2.560e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-2.063e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
3.000e+00	1.210e+00	0.000e+00	-1.359e-01	5.000e-03	1.210e-03	0.000e+00	-4.140e-07	0.000e+00	-3.422e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
4.320e+00	0.000e+00	0.000e+00	-4.759e-02	8.640e-03	1.210e-03	0.000e+00	-4.140e-07	0.000e+00	-3.898e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.880e+00	0.000e+00	0.000e+00	7.753e-03	1.372e-02	1.210e-03	0.000e+00	-4.140e-07	0.000e+00	-3.821e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
7.680e+00	0.000e+00	0.000e+00	4.606e-02	2.048e-02	1.210e-03	0.000e+00	-4.140e-07	0.000e+00	-3.360e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
9.720e+00	2.420e+00	0.000e+00	5.032e-02	2.916e-02	3.630e-03	0.000e+00	-1.105e-06	0.000e+00	-2.857e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
1.200e+01	0.000e+00	0.000e+00	2.265e-02	4.000e-02	3.630e-03	0.000e+00	-1.105e-06	0.000e+00	-2.630e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
1.452e+01	0.000e+00	0.000e+00	-2.417e-02	5.324e-02	3.630e-03	0.000e+00	-1.105e-06	0.000e+00	-2.872e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
1.728e+01	0.000e+00	0.000e+00	-8.909e-02	6.912e-02	3.630e-03	0.000e+00	-1.105e-06	0.000e+00	-3.763e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
2.028e+01	1.210e+00	0.000e+00	-1.487e-01	8.788e-02	4.839e-03	0.000e+00	-1.740e-06	0.000e+00	-5.250e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
2.352e+01	2.420e+00	0.000e+00	-2.519e-01	1.098e-01	7.259e-03	0.000e+00	-3.620e-06	0.000e+00	-7.769e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
2.700e+01	6.050e+00	0.000e+00	-1.870e-01	1.350e-01	1.331e-02	0.000e+00	-9.452e-06	0.000e+00	-9.639e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
3.072e+01	7.260e+00	0.000e+00	3.142e-01	1.638e-01	2.057e-02	0.000e+00	-1.417e-05	0.000e+00	-6.496e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
