# KERISE v5
# 正面向きの壁がない斜め5マス
# 区画の切り替わり上からスタート
# ref_v.tra	est_v.tra	ref_a.tra	est_a.tra	ref_q.x	est_q.x	ref_q.y	est_q.y	ref_q.th	est_q.th	ref_0	ref_1	ref_2	ref_3	wd_0	wd_1	wd_2	wd_3	tof
5.808e+01	1.331e+01	0.000e+00	-2.033e-01	4.259e-01	6.413e-02	0.000e+00	5.492e-06	0.000e+00	-4.700e-04	1.000e+00	1.000e+00	1.000e+00	9.270e+02	8.109e+01	9.396e+01	9.701e+01	-8.424e+00	2.810e+02
6.348e+01	1.936e+01	0.000e+00	-1.629e-01	4.867e-01	8.348e-02	0.000e+00	-6.760e-06	0.000e+00	-6.329e-04	1.000e+00	1.000e+00	1.000e+00	9.110e+02	8.109e+01	9.396e+01	9.701e+01	-8.648e+00	2.810e+02
6.912e+01	2.057e+01	0.000e+00	-1.512e-01	5.530e-01	1.041e-01	0.000e+00	-2.289e-05	0.000e+00	-7.841e-04	1.000e+00	1.000e+00	1.000e+00	9.270e+02	8.109e+01	9.396e+01	9.701e+01	-8.424e+00	2.810e+02
7.500e+01	2.662e+01	0.000e+00	-1.512e-01	6.250e-01	1.307e-01	0.000e+00	-4.778e-05	0.000e+00	-9.353e-04	1.000e+00	1.000e+00	1.000e+00	9.270e+02	8.109e+01	9.396e+01	9.701e+01	-8.648e+00	2.810e+02
8.112e+01	2.904e+01	0.000e+00	-1.437e-01	7.030e-01	1.597e-01	0.000e+00	-7.912e-05	0.000e+00	-1.079e-03	1.000e+00	1.000e+00	1.000e+00	9.280e+02	8.109e+01	9.396e+01	9.701e+01	-8.648e+00	2.810e+02
8.748e+01	3.146e+01	0.000e+00	-1.363e-01	7.873e-01	1.912e-01	0.000e+00	-1.173e-04	0.000e+00	-1.215e-03	1.000e+00	1.000e+00	1.000e+00	9.250e+02	8.109e+01	9.396e+01	9.701e+01	-8.662e+00	2.810e+02
9.408e+01	4.719e+01	0.000e+00	-1.608e-01	8.781e-01	2.384e-01	0.000e+00	-1.823e-04	0.000e+00	-1.376e-03	1.000e+00	1.000e+00	1.000e+00	9.280e+02	8.109e+01	9.396e+01	9.701e+01	-8.620e+00	2.810e+02
1.009e+02	4.356e+01	0.000e+00	-2.353e-01	9.756e-01	2.819e-01	0.000e+00	-2.525e-04	0.000e+00	-1.611e-03	1.000e+00	1.000e+00	1.000e+00	9.290e+02	8.109e+01	9.396e+01	9.701e+01	-8.662e+00	2.810e+02
1.080e+02	6.776e+01	0.000e+00	-3.161e-01	1.080e+00	3.497e-01	0.000e+00	-3.831e-04	0.000e+00	-1.927e-03	1.000e+00	1.000e+00	1.000e+00	9.300e+02	8.109e+01	9.396e+01	9.701e+01	-8.676e+00	2.810e+02
1.153e+02	6.413e+01	0.000e+00	-4.311e-01	1.192e+00	4.138e-01	0.000e+00	-5.343e-04	0.000e+00	-2.359e-03	1.000e+00	1.000e+00	1.000e+00	9.320e+02	8.109e+01	9.396e+01	9.701e+01	-8.690e+00	2.810e+02
1.229e+02	9.437e+01	0.000e+00	-5.215e-01	1.311e+00	5.082e-01	0.000e+00	-8.061e-04	0.000e+00	-2.880e-03	1.000e+00	1.000e+00	1.000e+00	9.340e+02	8.109e+01	9.396e+01	9.701e+01	-8.718e+00	2.810e+02
1.307e+02	8.832e+01	0.000e+00	-6.791e-01	1.437e+00	5.965e-01	0.000e+00	-1.120e-03	0.000e+00	-3.559e-03	1.000e+00	1.000e+00	1.000e+00	9.330e+02	8.109e+01	9.396e+01	9.701e+01	-8.745e+00	2.810e+02
1.387e+02	1.270e+02	0.000e+00	-8.557e-01	1.572e+00	7.235e-01	0.000e+00	-1.681e-03	0.000e+00	-4.415e-03	1.000e+00	1.000e+00	1.000e+00	9.370e+02	8.109e+01	9.396e+01	9.701e+01	-8.732e+00	2.810e+02
1.470e+02	1.149e+02	0.000e+00	-1.042e+00	1.715e+00	8.385e-01	0.000e+00	-2.309e-03	0.000e+00	-5.457e-03	1.000e+00	1.000e+00	1.000e+00	9.380e+02	8.109e+01	9.396e+01	9.701e+01	-8.787e+00	2.810e+02
1.555e+02	1.633e+02	0.000e+00	-1.050e+00	1.866e+00	1.002e+00	0.000e+00	-3.371e-03	0.000e+00	-6.507e-03	1.000e+00	1.000e+00	1.000e+00	9.380e+02	8.109e+01	9.396e+01	9.701e+01	-8.800e+00	2.810e+02
1.643e+02	1.476e+02	0.000e+00	-8.280e-01	2.026e+00	1.149e+00	0.000e+00	-4.454e-03	0.000e+00	-7.335e-03	1.000e+00	1.000e+00	1.000e+00	9.380e+02	8.109e+01	9.396e+01	9.701e+01	-8.800e+00	2.810e+02
1.732e+02	2.093e+02	0.000e+00	-6.056e-01	2.195e+00	1.359e+00	0.000e+00	-6.116e-03	0.000e+00	-7.941e-03	1.000e+00	1.000e+00	1.000e+00	9.400e+02	8.109e+01	9.396e+01	9.701e+01	-8.800e+00	2.810e+02
1.822e+02	1.827e+02	0.000e+00	-5.790e-01	2.373e+00	1.541e+00	0.000e+00	-7.673e-03	0.000e+00	-8.520e-03	1.000e+00	1.000e+00	1.000e+00	9.310e+02	8.109e+01	9.396e+01	9.701e+01	-8.828e+00	2.810e+02
1.912e+02	2.505e+02	0.000e+00	-7.972e-01	2.559e+00	1.792e+00	0.000e+00	-1.001e-02	0.000e+00	-9.317e-03	1.000e+00	1.000e+00	1.000e+00	9.370e+02	8.109e+01	9.396e+01	9.701e+01	-8.704e+00	2.810e+02
2.002e+02	2.142e+02	0.000e+00	-1.188e+00	2.755e+00	2.006e+00	0.000e+00	-1.226e-02	0.000e+00	-1.050e-02	1.000e+00	1.000e+00	1.000e+00	9.390e+02	8.109e+01	9.396e+01	9.701e+01	-8.787e+00	2.810e+02
2.092e+02	2.916e+02	0.000e+00	-1.320e+00	2.960e+00	2.298e+00	0.000e+00	-1.570e-02	0.000e+00	-1.182e-02	1.000e+00	1.000e+00	1.000e+00	9.410e+02	8.109e+01	9.396e+01	9.701e+01	-8.814e+00	2.810e+02
2.182e+02	2.468e+02	0.000e+00	-1.203e+00	3.174e+00	2.544e+00	0.000e+00	-1.892e-02	0.000e+00	-1.303e-02	1.000e+00	1.000e+00	1.000e+00	9.420e+02	8.109e+01	9.396e+01	9.701e+01	-8.842e+00	2.810e+02
2.272e+02	3.327e+02	0.000e+00	-1.000e+00	3.396e+00	2.877e+00	0.000e+00	-2.359e-02	0.000e+00	-1.403e-02	1.000e+00	1.000e+00	1.000e+00	9.380e+02	8.109e+01	9.396e+01	9.701e+01	-8.855e+00	2.810e+02
2.362e+02	2.795e+02	0.000e+00	-7.408e-01	3.628e+00	3.157e+00	0.000e+00	-2.771e-02	0.000e+00	-1.477e-02	1.000e+00	1.000e+00	1.000e+00	9.330e+02	8.109e+01	9.396e+01	9.701e+01	-8.800e+00	2.810e+02
2.452e+02	3.702e+02	0.000e+00	-4.949e-01	3.869e+00	3.527e+00	0.000e+00	-3.337e-02	0.000e+00	-1.526e-02	1.000e+00	1.000e+00	1.000e+00	9.220e+02	8.109e+01	9.396e+01	9.701e+01	-8.732e+00	2.810e+02
2.542e+02	3.037e+02	0.000e+00	-2.981e-01	4.119e+00	3.830e+00	0.000e+00	-3.809e-02	0.000e+00	-1.556e-02	1.000e+00	1.000e+00	1.000e+00	9.130e+02	8.109e+01	9.396e+01	9.701e+01	-8.578e+00	2.810e+02
2.632e+02	4.005e+02	0.000e+00	-9.905e-02	4.377e+00	4.231e+00	0.000e+00	-4.436e-02	0.000e+00	-1.566e-02	1.000e+00	1.000e+00	1.000e+00	9.030e+02	8.109e+01	9.396e+01	9.701e+01	-8.310e+00	2.810e+02
2.722e+02	3.593e+02	0.000e+00	3.926e-01	4.645e+00	4.590e+00	0.000e+00	-4.985e-02	0.000e+00	-1.527e-02	1.000e+00	1.000e+00	1.000e+00	8.800e+02	8.109e+01	9.396e+01	9.701e+01	-8.310e+00	2.810e+02
2.812e+02	3.751e+02	0.000e+00	1.012e+00	4.922e+00	4.965e+00	0.000e+00	-5.520e-02	0.000e+00	-1.426e-02	1.000e+00	1.000e+00	1.000e+00	8.510e+02	8.109e+01	9.396e+01	9.701e+01	-7.544e+00	2.810e+02
2.902e+02	3.702e+02	0.000e+00	1.541e+00	5.208e+00	5.335e+00	0.000e+00	-5.990e-02	0.000e+00	-1.271e-02	1.000e+00	1.000e+00	1.000e+00	8.160e+02	8.109e+01	9.396e+01	9.701e+01	-7.544e+00	2.810e+02
2.992e+02	3.243e+02	0.000e+00	1.997e+00	5.502e+00	5.660e+00	0.000e+00	-6.338e-02	0.000e+00	-1.072e-02	1.000e+00	1.000e+00	1.000e+00	7.710e+02	8.109e+01	9.396e+01	9.701e+01	-7.003e+00	2.810e+02
3.082e+02	4.102e+02	0.000e+00	2.328e+00	5.806e+00	6.070e+00	0.000e+00	-6.682e-02	0.000e+00	-8.389e-03	1.000e+00	1.000e+00	1.000e+00	7.230e+02	8.109e+01	9.396e+01	9.701e+01	-6.271e+00	2.810e+02
3.172e+02	3.267e+02	0.000e+00	2.378e+00	6.119e+00	6.396e+00	0.000e+00	-6.878e-02	0.000e+00	-6.011e-03	1.000e+00	1.000e+00	1.000e+00	6.710e+02	8.109e+01	9.396e+01	9.701e+01	-5.441e+00	2.810e+02
3.262e+02	4.150e+02	0.000e+00	2.193e+00	6.441e+00	6.811e+00	0.000e+00	-7.037e-02	0.000e+00	-3.817e-03	1.000e+00	1.000e+00	1.000e+00	6.100e+02	8.109e+01	9.396e+01	9.701e+01	-4.478e+00	2.810e+02
3.352e+02	3.327e+02	0.000e+00	1.982e+00	6.771e+00	7.144e+00	0.000e+00	-7.098e-02	0.000e+00	-1.836e-03	1.000e+00	1.000e+00	1.000e+00	5.650e+02	8.109e+01	9.396e+01	9.701e+01	-3.248e+00	2.810e+02
3.442e+02	4.259e+02	0.000e+00	1.836e+00	7.111e+00	7.570e+00	0.000e+00	-7.098e-02	0.000e+00	-6.426e-08	1.000e+00	1.000e+00	1.000e+00	4.970e+02	8.109e+01	9.396e+01	9.701e+01	-2.259e+00	2.810e+02
3.532e+02	3.400e+02	0.000e+00	1.776e+00	7.460e+00	7.910e+00	0.000e+00	-7.037e-02	0.000e+00	1.776e-03	1.000e+00	1.000e+00	1.000e+00	4.540e+02	8.109e+01	9.396e+01	9.701e+01	-6.047e-01	2.810e+02
3.622e+02	4.368e+02	0.000e+00	1.867e+00	7.818e+00	8.347e+00	0.000e+00	-6.878e-02	0.000e+00	3.643e-03	1.000e+00	1.000e+00	1.000e+00	3.930e+02	8.109e+01	9.396e+01	9.701e+01	5.630e-01	2.810e+02
3.712e+02	3.509e+02	0.000e+00	1.972e+00	8.184e+00	8.698e+00	0.000e+00	-6.681e-02	0.000e+00	5.615e-03	1.000e+00	1.000e+00	1.000e+00	3.450e+02	8.109e+01	9.396e+01	9.701e+01	2.425e+00	2.810e+02
3.802e+02	4.598e+02	0.000e+00	2.057e+00	8.560e+00	9.157e+00	0.000e+00	-6.329e-02	0.000e+00	7.672e-03	1.000e+00	1.000e+00	1.000e+00	2.890e+02	8.109e+01	9.396e+01	9.701e+01	4.106e+00	2.810e+02
3.892e+02	3.678e+02	0.000e+00	1.807e+00	8.945e+00	9.525e+00	0.000e+00	-5.980e-02	0.000e+00	9.479e-03	1.000e+00	1.000e+00	1.000e+00	2.450e+02	8.109e+01	9.396e+01	9.701e+01	6.391e+00	2.810e+02
3.982e+02	4.803e+02	0.000e+00	1.566e+00	9.339e+00	1.001e+01	0.000e+00	-5.449e-02	0.000e+00	1.105e-02	1.000e+00	1.000e+00	1.000e+00	1.970e+02	8.109e+01	9.396e+01	9.701e+01	8.522e+00	2.810e+02
4.072e+02	3.872e+02	0.000e+00	1.487e+00	9.741e+00	1.039e+01	0.000e+00	-4.964e-02	0.000e+00	1.253e-02	1.000e+00	1.000e+00	1.000e+00	1.620e+02	8.109e+01	9.396e+01	9.701e+01	1.134e+01	2.810e+02
4.162e+02	5.082e+02	0.000e+00	1.616e+00	1.015e+01	1.090e+01	0.000e+00	-4.245e-02	0.000e+00	1.415e-02	1.000e+00	1.000e+00	1.000e+00	1.250e+02	8.109e+01	9.396e+01	9.701e+01	1.386e+01	2.810e+02
4.252e+02	4.126e+02	0.000e+00	1.737e+00	1.057e+01	1.131e+01	0.000e+00	-3.590e-02	0.000e+00	1.588e-02	1.000e+00	1.000e+00	1.000e+00	8.900e+01	8.109e+01	9.396e+01	9.701e+01	1.721e+01	2.810e+02
4.342e+02	5.312e+02	0.000e+00	1.360e+00	1.100e+01	1.184e+01	0.000e+00	-2.674e-02	0.000e+00	1.724e-02	1.000e+00	1.000e+00	1.000e+00	5.900e+01	8.109e+01	9.396e+01	9.701e+01	2.159e+01	2.810e+02
4.430e+02	4.223e+02	0.000e+00	5.278e-01	1.144e+01	1.227e+01	0.000e+00	-1.924e-02	0.000e+00	1.777e-02	1.000e+00	1.000e+00	1.000e+00	3.800e+01	8.109e+01	9.396e+01	9.701e+01	2.689e+01	2.810e+02
4.516e+02	5.396e+02	0.000e+00	1.589e-02	1.189e+01	1.281e+01	0.000e+00	-9.636e-03	0.000e+00	1.779e-02	1.000e+00	1.000e+00	1.000e+00	1.400e+01	8.109e+01	9.396e+01	9.701e+01	3.257e+01	2.810e+02
4.599e+02	4.247e+02	0.000e+00	-4.502e-01	1.235e+01	1.323e+01	0.000e+00	-2.273e-03	0.000e+00	1.734e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	4.545e+01	2.810e+02
4.680e+02	5.420e+02	0.000e+00	-6.493e-01	1.281e+01	1.377e+01	0.000e+00	6.772e-03	0.000e+00	1.669e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
4.758e+02	4.247e+02	0.000e+00	-8.962e-01	1.328e+01	1.420e+01	0.000e+00	1.348e-02	0.000e+00	1.579e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
4.834e+02	5.445e+02	0.000e+00	-1.147e+00	1.376e+01	1.474e+01	0.000e+00	2.145e-02	0.000e+00	1.465e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
4.908e+02	4.392e+02	0.000e+00	-1.521e+00	1.425e+01	1.518e+01	0.000e+00	2.722e-02	0.000e+00	1.312e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
4.979e+02	5.348e+02	0.000e+00	-1.676e+00	1.474e+01	1.572e+01	0.000e+00	3.334e-02	0.000e+00	1.145e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.048e+02	5.009e+02	0.000e+00	-1.450e+00	1.524e+01	1.622e+01	0.000e+00	3.835e-02	0.000e+00	9.999e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.114e+02	5.045e+02	0.000e+00	-1.245e+00	1.575e+01	1.672e+01	0.000e+00	4.276e-02	0.000e+00	8.754e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.178e+02	4.453e+02	0.000e+00	-1.344e+00	1.627e+01	1.717e+01	0.000e+00	4.606e-02	0.000e+00	7.410e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.240e+02	5.699e+02	0.000e+00	-1.360e+00	1.679e+01	1.774e+01	0.000e+00	4.951e-02	0.000e+00	6.049e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.299e+02	4.586e+02	0.000e+00	-1.247e+00	1.731e+01	1.819e+01	0.000e+00	5.171e-02	0.000e+00	4.802e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.356e+02	5.844e+02	0.000e+00	-1.138e+00	1.785e+01	1.878e+01	0.000e+00	5.385e-02	0.000e+00	3.664e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.410e+02	4.695e+02	0.000e+00	-6.993e-01	1.839e+01	1.925e+01	0.000e+00	5.525e-02	0.000e+00	2.965e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.462e+02	5.904e+02	0.000e+00	3.398e-02	1.893e+01	1.984e+01	0.000e+00	5.702e-02	0.000e+00	2.999e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.512e+02	4.646e+02	0.000e+00	1.257e+00	1.948e+01	2.030e+01	0.000e+00	5.900e-02	0.000e+00	4.256e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
