(  5,  7, >, false)
(  5,  7, v, true)
(  6,  7, ^, true)
(  6,  7, >, false)
(  6,  7, v, true)
(  7,  7, ^, true)
(  7,  7, >, true)
(  7,  7, v, false)
(  7,  6, >, true)
(  7,  6, v, true)
(  7,  6, <, false)
(  6,  6, v, false)
(  6,  6, <, false)
(  5,  6, v, false)
(  5,  6, <, true)
(  5,  5, >, true)
(  5,  5, v, true)
(  5,  5, <, false)
(  4,  5, v, false)
(  4,  5, <, true)
(  4,  5, ^, false)
(  4,  4, >, false)
(  4,  4, v, false)
(  4,  4, <, true)
(  4,  3, >, true)
(  4,  3, v, false)
(  4,  3, <, false)
(  4,  2, >, false)
(  4,  2, v, true)
(  4,  2, <, false)
(  5,  2, ^, true)
(  5,  2, >, false)
(  5,  2, v, true)
(  6,  2, ^, true)
(  6,  2, >, false)
(  6,  2, v, true)
(  7,  2, ^, false)
(  7,  2, >, false)
(  7,  2, v, true)
(  8,  2, ^, true)
(  8,  2, >, false)
(  8,  2, v, true)
(  9,  2, ^, true)
(  9,  2, >, false)
(  9,  2, v, true)
( 10,  2, ^, true)
( 10,  2, >, false)
( 10,  2, v, true)
( 11,  2, ^, false)
( 11,  2, >, false)
( 11,  2, v, true)
( 12,  2, ^, true)
( 12,  2, >, false)
( 12,  2, v, true)
( 13,  2, ^, true)
( 13,  2, >, false)
( 13,  2, v, true)
( 14,  2, ^, true)
( 14,  2, >, false)
( 14,  2, v, true)
( 15,  2, ^, true)
( 15,  2, >, false)
( 15,  2, v, true)
( 16,  2, ^, false)
( 16,  2, >, true)
( 16,  2, v, true)
( 16,  3, <, true)
( 16,  3, ^, true)
( 16,  3, >, false)
( 17,  3, ^, true)
( 17,  3, >, true)
( 17,  3, v, false)
( 17,  2, >, false)
( 17,  2, v, true)
( 18,  2, ^, false)
( 18,  2, >, true)
( 18,  2, v, false)
( 18,  3, ^, true)
( 18,  3, >, true)
( 18,  1, >, false)
( 18,  1, v, true)
( 18,  1, <, false)
( 19,  1, ^, true)
( 19,  1, >, false)
( 19,  1, v, true)
( 20,  1, ^, true)
( 20,  1, >, false)
( 20,  1, v, true)
( 21,  1, ^, true)
( 21,  1, >, false)
( 21,  1, v, true)
( 22,  1, ^, true)
( 22,  1, >, false)
( 22,  1, v, true)
( 23,  1, ^, true)
( 23,  1, >, false)
( 23,  1, v, true)
( 24,  1, ^, true)
( 24,  1, >, false)
( 24,  1, v, true)
( 25,  1, ^, true)
( 25,  1, >, false)
( 25,  1, v, true)
( 26,  1, ^, true)
( 26,  1, >, false)
( 26,  1, v, true)
( 27,  1, ^, false)
( 27,  1, >, true)
( 27,  1, v, true)
( 27,  2, <, true)
( 27,  2, ^, false)
( 27,  2, >, true)
( 27,  3, <, true)
( 27,  3, ^, false)
( 27,  3, >, true)
( 27,  4, <, true)
( 27,  4, ^, true)
( 27,  4, >, false)
( 28,  4, ^, true)
( 28,  4, >, false)
( 28,  4, v, true)
( 29,  4, ^, true)
( 29,  4, >, false)
( 29,  4, v, true)
( 30,  4, ^, false)
( 30,  4, >, true)
( 30,  4, v, true)
( 30,  5, <, false)
( 30,  5, ^, true)
( 30,  5, >, true)
( 29,  5, <, false)
( 29,  5, ^, true)
( 28,  5, <, false)
( 28,  5, ^, true)
( 27,  5, <, false)
( 27,  5, ^, true)
( 26,  5, v, false)
( 26,  5, <, true)
( 26,  5, ^, false)
( 26,  6, <, false)
( 26,  6, ^, true)
( 26,  6, >, true)
( 25,  6, v, true)
( 25,  6, <, false)
( 25,  6, ^, true)
( 24,  6, v, true)
( 24,  6, <, false)
( 24,  6, ^, true)
( 23,  6, v, true)
( 23,  6, <, false)
( 23,  6, ^, true)
( 22,  6, v, false)
( 22,  6, <, true)
( 22,  6, ^, true)
( 22,  5, >, true)
( 22,  5, v, false)
( 22,  5, <, true)
( 22,  4, >, true)
( 22,  4, v, false)
( 22,  4, <, true)
( 22,  3, >, true)
( 22,  3, v, false)
( 22,  3, <, true)
( 22,  2, >, false)
( 22,  2, <, true)
( 23,  2, ^, true)
( 23,  2, >, false)
( 24,  2, ^, true)
( 24,  2, >, false)
( 25,  2, ^, true)
( 25,  2, >, false)
( 26,  2, ^, false)
( 26,  3, <, true)
( 26,  3, ^, false)
( 26,  4, <, true)
( 11,  3, <, true)
( 11,  3, ^, false)
( 11,  3, >, true)
( 11,  4, <, false)
( 11,  4, ^, false)
( 11,  4, >, true)
( 11,  5, <, true)
( 11,  5, ^, false)
( 11,  5, >, true)
( 11,  6, <, true)
( 11,  6, ^, false)
( 11,  6, >, true)
( 11,  7, <, true)
( 11,  7, ^, true)
( 11,  7, >, true)
( 10,  4, v, false)
( 10,  4, <, true)
( 10,  4, ^, false)
( 10,  5, <, true)
( 10,  5, ^, true)
( 10,  3, <, false)
(  9,  3, <, false)
(  9,  3, ^, false)
(  8,  3, <, false)
(  8,  3, ^, false)
(  7,  3, <, false)
(  7,  3, ^, true)
(  6,  3, <, false)
(  6,  3, ^, false)
(  5,  3, ^, false)
(  5,  4, >, true)
(  9,  4, <, true)
(  9,  4, ^, false)
(  9,  5, <, true)
(  9,  5, ^, false)
(  9,  6, <, true)
(  9,  6, ^, false)
(  9,  6, >, false)
(  9,  7, <, true)
(  9,  7, ^, false)
(  9,  7, >, true)
(  9,  8, <, true)
(  9,  8, ^, true)
(  9,  8, >, false)
( 10,  8, ^, true)
( 10,  8, >, true)
( 10,  8, v, false)
( 10,  7, v, false)
(  8,  4, <, false)
(  8,  4, ^, true)
(  7,  4, <, true)
(  7,  4, ^, false)
(  7,  5, <, true)
(  7,  5, >, false)
(  8,  5, ^, false)
(  8,  6, ^, false)
(  8,  7, ^, true)
(  6,  4, ^, false)
(  3,  8, ^, false)
(  3,  8, >, true)
(  3,  9, >, true)
(  4,  6, <, true)
(  3,  3, v, true)
(  3,  3, <, true)
(  3,  3, ^, false)
(  3,  4, <, true)
(  3,  4, ^, false)
(  3,  5, <, true)
(  3,  5, ^, false)
(  3,  6, <, false)
(  2,  6, v, false)
(  2,  5, v, false)
(  2,  5, <, true)
(  2,  4, v, false)
(  2,  4, <, false)
(  2,  3, v, false)
(  2,  3, <, true)
(  2,  2, >, false)
(  2,  2, v, true)
(  2,  2, <, true)
(  3,  2, v, true)
(  1,  4, v, true)
(  1,  4, ^, false)
(  0,  7, ^, false)
(  0,  8, ^, false)
(  0,  9, ^, false)
(  0, 10, ^, false)
(  0, 11, ^, false)
(  0, 12, ^, false)
(  0, 13, ^, false)
(  0, 14, ^, false)
(  0, 15, ^, false)
(  0, 16, ^, false)
(  0, 17, ^, false)
(  0, 18, ^, false)
(  0, 19, ^, false)
(  0, 20, ^, false)
(  0, 21, ^, false)
(  0, 22, ^, false)
(  0, 23, ^, false)
(  0, 24, ^, false)
(  0, 25, ^, false)
(  0, 26, ^, false)
(  0, 27, ^, false)
(  0, 28, ^, false)
(  0, 28, >, true)
(  0, 29, ^, false)
(  0, 29, >, true)
(  0, 30, ^, false)
(  0, 30, >, true)
(  0, 31, >, true)
(  1,  3, v, false)
(  1,  2, v, false)
(  1,  1, >, false)
(  1,  1, v, false)
(  1,  0, >, true)
(  2,  1, >, false)
(  2,  1, v, false)
(  3,  1, >, false)
(  3,  1, v, true)
(  4,  1, >, false)
(  4,  1, v, true)
(  5,  1, >, false)
(  5,  1, v, true)
(  6,  1, >, false)
(  6,  1, v, true)
(  7,  1, >, false)
(  7,  1, v, true)
(  8,  1, >, false)
(  8,  1, v, true)
(  9,  1, >, false)
(  9,  1, v, true)
( 10,  1, >, false)
( 10,  1, v, true)
( 11,  1, >, false)
( 11,  1, v, true)
( 12,  1, >, false)
( 12,  1, v, true)
( 13,  1, >, false)
( 13,  1, v, true)
( 14,  1, >, false)
( 14,  1, v, true)
( 15,  1, >, false)
( 15,  1, v, true)
( 16,  1, >, false)
( 16,  1, v, true)
( 17,  1, v, true)
(  2,  0, >, false)
(  3,  0, >, false)
(  4,  0, >, false)
(  5,  0, >, false)
(  6,  0, >, false)
(  7,  0, >, false)
(  8,  0, >, false)
(  9,  0, >, false)
( 10,  0, >, false)
( 11,  0, >, false)
( 12,  0, >, false)
( 13,  0, >, false)
( 14,  0, >, false)
( 15,  0, >, false)
( 16,  0, >, false)
( 17,  0, >, false)
( 18,  0, >, false)
( 19,  0, >, false)
( 20,  0, >, false)
( 21,  0, >, false)
( 22,  0, >, false)
( 23,  0, >, false)
( 24,  0, >, false)
( 25,  0, >, false)
( 26,  0, >, false)
( 27,  0, >, false)
( 28,  0, ^, false)
( 28,  0, >, false)
